Id Mode logP wjh wjk whk wvj wvh wvk wij wih wik whvi ejh ejk ehk evj evh evk eij eih eik ehvi 
0612 FO -0.056 15.263 15.307 15.340 15.710 15.842 15.447 15.775 15.500 15.433 15.540 0.192 0.133 0.283 0.065 0.061 0.106 0.090 0.098 0.109 0.093 
0613 FU 0.638 13.503 13.831 14.072 13.875 14.078 13.855 13.863 13.671 13.843 13.779 0.111 0.067 0.137 0.051 0.045 0.050 0.074 0.053 0.052 0.054 
0614 FO 0.556 13.149 13.364 13.522 13.558 13.704 13.435 13.568 13.344 13.421 13.429 0.063 0.050 0.099 0.031 0.025 0.040 0.055 0.036 0.042 0.040 
0616 FO 0.330 13.933 14.251 14.484 14.506 14.650 14.342 14.547 14.217 14.332 14.303 0.116 0.090 0.172 0.057 0.051 0.070 0.081 0.052 0.072 0.053 
0625 FU 0.574 13.602 13.877 14.079 14.149 14.293 13.974 14.199 13.878 13.965 13.952 0.153 0.070 0.145 0.074 0.068 0.045 0.101 0.065 0.047 0.064 
0628 FU 0.545 13.763 14.012 14.196 14.283 14.432 14.109 14.303 14.013 14.092 14.109 0.170 0.096 0.188 0.084 0.077 0.068 0.112 0.070 0.070 0.068 
0631 FU 0.555 13.741 14.019 14.224 14.274 14.423 14.111 14.317 14.007 14.101 14.085 0.153 0.087 0.184 0.066 0.061 0.065 0.091 0.071 0.067 0.069 
0632 FU 0.570 13.629 13.987 14.250 14.232 14.378 14.075 14.284 13.932 14.069 14.013 0.133 0.081 0.156 0.067 0.061 0.059 0.092 0.056 0.061 0.056 
0633 FU 0.727 13.148 13.417 13.615 13.683 13.852 13.513 13.746 13.425 13.507 13.489 0.093 0.071 0.135 0.048 0.042 0.055 0.071 0.043 0.057 0.045 
0636 FO 0.192 14.143 14.405 14.598 14.678 14.797 14.502 14.679 14.391 14.480 14.502 0.190 0.102 0.201 0.092 0.085 0.070 0.122 0.079 0.072 0.076 
0646 FU 0.535 13.659 13.949 14.162 14.185 14.412 14.037 14.184 13.903 14.015 14.032 0.149 0.118 0.217 0.076 0.070 0.090 0.103 0.060 0.092 0.060 
0647 FU 0.701 13.278 13.432 13.547 13.624 13.800 13.504 13.664 13.457 13.497 13.510 0.098 0.064 0.124 0.050 0.044 0.048 0.073 0.045 0.050 0.047 
0648 FU 1.134 11.935 12.125 12.266 12.351 12.571 12.210 12.400 12.151 12.202 12.215 0.094 0.053 0.114 0.042 0.037 0.040 0.065 0.048 0.042 0.049 
0649 FO 0.297 14.026 14.258 14.428 14.462 14.582 14.331 14.496 14.244 14.323 14.308 0.149 0.068 0.155 0.063 0.058 0.047 0.088 0.070 0.049 0.068 
