host id period V dV I dI NIR dNIR [OH]
N3982 69280 38.69 27.001 0.038 25.707 0.065 24.35 0.18 8.43
N3982 67799 40.44 27.042 0.041 25.942 0.07 24.53 0.17 8.578
N3982 10346 40.45 26.852 0.044 25.452 0.089 24.25 0.27 8.793
N3982 82298 41.68 26.566 0.023 25.627 0.05 24.37 0.23 8.789
N3982 32060 46.98 26.734 0.037 25.378 0.063 24.3 0.43 9.015
N3982 10837 47.46 26.836 0.06 25.603 0.098 24.21 0.24 8.83
N3982 52860 52.59 25.634 0.035 24.777 0.068 23.93 0.48 9.055
N3982 72603 57.63 26.189 0.043 25.141 0.063 23.79 0.17 8.461
N3982 26154 83.3 25.036 0.021 24.142 0.044 23.32 0.3 9.074
N4038 59401 40.21 26.939 0.036 25.362 0.059 24.35 0.4 9.044
N4038 56965 40.48 26.158 0.028 25.023 0.046 23.84 0.47 9.054
N4038 67110 41.07 26.156 0.032 25.191 0.056 23.69 0.52 9.018
N4038 75207 45.26 26.666 0.033 25.253 0.053 23.7 0.31 8.982
N4038 77376 53.13 26.419 0.04 24.792 0.072 23.45 0.52 8.931
N4038 12435 54.5 25.928 0.033 25.02 0.058 24.02 0.5 9.091
N4038 4633 57.27 26.069 0.032 24.977 0.055 23.63 0.62 9.009
N4038 62538 72.38 25.794 0.03 24.434 0.046 23.16 0.4 8.985
N4038 67639 72.94 25.818 0.022 24.407 0.035 22.88 0.4 9.067
N4038 69575 80.26 24.133 0.015 22.956 0.032 21.98 0.36 9.046
N4038 8342 93.07 25.521 0.021 24.213 0.036 23.35 0.38 9.055
N4038 67811 93.57 25.782 0.023 24.235 0.037 22.71 0.25 8.937
N4038 13068 97.11 24.453 0.024 23.656 0.041 22.19 0.42 9.094
N4258 F13 14.81 25.276 0.044 24.068 0.062 22.8 0.23 8.787
N4258 F16 19.96 25.189 0.055 23.78 0.067 22.38 0.27 8.826
N4258 F33 60.98 24.417 0.068 22.877 0.04 21.62 0.17 8.786
N4258 F29 26.83 25.543 0.045 24.215 0.091 23.12 0.23 8.863
N4258 F20 30.9 25.25 0.045 23.914 0.065 22.61 0.18 8.867
N4258 F12 57.49 23.704 0.083 22.333 0.072 21.18 0.2 8.883
N4258 F11 16.86 25.501 0.051 24.143 0.064 22.78 0.27 8.804
N4258 C068 31.19 24.74 0.07 23.461 0.045 22.46 0.18 8.776
N4258 C056 21.26 25.158 0.086 23.765 0.082 22.5 0.19 8.772
N4258 MO021853 6.156 26.7 0.035 25.609 0.033 24.79 0.43 8.749
N4258 MO023973 7.278 26.129 0.032 25.238 0.038 24.66 0.31 8.755
N4258 C015 8.592 25.149 0.084 24.224 0.078 23.65 0.28 8.741
N4258 MO024025 9.204 25.743 0.015 24.76 0.016 24.04 0.26 8.755
N4258 MO022252 9.817 26.49 0.042 25.261 0.037 24.03 0.29 8.75
N4258 C053 18.32 24.974 0.08 23.961 0.059 23.21 0.19 8.735
N4258 F01 23.75 25.185 0.049 23.842 0.061 22.45 0.17 8.755
N4258 C070 32.3 24.782 0.054 23.486 0.096 22.22 0.18 8.718
N4258 MO028606 43.78 24.257 0.022 23.006 0.024 21.73 0.15 8.769
N4258 C082 45.56 23.968 0.05 22.794 0.053 21.59 0.17 8.744
N4258 C089 83.26 23.302 0.046 22.139 0.078 21.0 0.17 8.743
N4258 MI144755 12.1 25.605 0.017 24.267 0.018 23.34 0.23 8.811
N4258 F10 39.12 24.691 0.046 23.498 0.087 22.07 0.18 8.779
N4258 MI100117 6.798 25.736 0.036 24.902 0.036 23.84 0.48 8.875
N4258 MI085481 7.254 25.972 0.026 24.787 0.027 24.22 0.49 8.901
N4258 MI089375 12.65 25.372 0.019 24.31 0.022 22.94 0.59 8.892
N4258 F02 22.85 25.162 0.123 23.606 0.132 22.63 0.24 8.813
N4258 C033 11.03 26.876 0.108 25.363 0.112 24.15 0.3 8.82
N4258 F28 17.87 25.659 0.046 24.41 0.075 23.01 0.27 8.853
N4258 F06 38.15 24.773 0.074 23.256 0.086 21.9 0.19 8.815
N4258 MI099443 6.279 25.907 0.039 24.876 0.039 23.97 0.59 8.91
N4258 MI097361 6.565 26.139 0.025 24.957 0.027 24.05 0.54 8.917
N4258 MI112093 7.231 26.074 0.026 25.047 0.029 24.66 0.49 8.916
N4258 MI020604 7.627 25.994 0.031 24.897 0.033 24.27 0.61 8.885
N4258 MI115906 7.941 25.313 0.023 24.201 0.029 23.58 0.63 8.911
N4258 MI118600 7.978 25.729 0.021 24.598 0.025 23.9 0.51 8.908
N4258 MI097498 9.906 25.724 0.026 24.603 0.026 24.11 0.53 8.931
N4258 MI110213 11.6 25.55 0.042 24.178 0.051 23.22 0.38 8.911
N4258 MI100093 11.85 25.073 0.02 24.193 0.025 23.31 0.57 8.912
N4258 MI113982 11.99 25.528 0.023 24.556 0.02 23.65 0.38 8.906
N4258 MI058469 12.87 25.564 0.021 24.348 0.022 22.97 0.52 8.916
N4258 MI099783 14.4 25.324 0.021 24.299 0.02 22.95 0.51 8.901
N4258 MI084851 14.48 25.4 0.02 24.395 0.021 23.26 0.33 8.884
N4258 MI122858 14.59 24.991 0.03 24.052 0.031 23.04 0.33 8.901
N4258 MI099411 17.08 25.171 0.021 24.014 0.022 23.4 0.38 8.922
N4258 MI095003 20.42 25.551 0.022 24.156 0.019 23.32 0.39 8.907
N4258 MI105183 22.89 25.057 0.014 23.807 0.014 22.64 0.34 8.926
N4258 MI103070 24.76 25.161 0.019 23.857 0.018 22.66 0.32 8.928
N4258 MI099756 28.42 24.661 0.046 23.454 0.03 22.68 0.33 8.909
N4258 MI097135 31.19 24.921 0.02 23.53 0.018 22.45 0.27 8.923
N4258 MI101120 5.418 26.704 0.051 25.563 0.044 25.24 0.6 8.915
N4258 MI244397 5.525 25.992 0.039 25.113 0.051 24.53 0.4 8.936
N4258 MI062339 6.469 26.052 0.044 24.999 0.046 24.04 0.64 8.933
N4258 MI032080 6.559 25.929 0.021 24.985 0.029 24.32 0.58 8.91
N4258 MI090883 7.161 25.987 0.024 25.117 0.025 24.66 0.58 8.927
N4258 MI052829 7.643 25.496 0.027 24.34 0.03 23.37 0.5 8.947
N4258 MI062955 8.204 25.795 0.027 24.848 0.03 24.47 0.5 8.948
N4258 MI055978 8.219 25.611 0.019 24.512 0.026 24.0 0.58 8.972
N4258 MI092388 8.45 25.865 0.017 24.515 0.014 23.76 0.53 8.921
N4258 MI098042 9.42 25.656 0.019 24.559 0.02 23.74 0.67 8.924
N4258 MI025760 9.684 25.659 0.024 24.588 0.031 23.93 0.63 8.987
N4258 MI064217 9.774 25.829 0.031 24.751 0.037 23.55 0.62 8.946
N4258 MI025811 10.69 25.3 0.021 24.182 0.028 23.45 0.58 8.989
N4258 MI091209 10.71 25.078 0.015 24.139 0.02 23.48 0.5 8.942
N4258 MI091129 10.73 25.477 0.022 24.402 0.024 23.42 0.5 8.938
N4258 MI057246 10.94 25.1 0.015 24.063 0.019 23.19 0.51 8.947
N4258 MI051416 11.16 25.297 0.031 24.363 0.035 23.51 0.46 8.947
N4258 MI084547 11.62 25.174 0.021 24.238 0.028 23.41 0.5 8.948
N4258 MI061828 11.64 25.922 0.038 24.492 0.034 23.6 0.5 8.937
N4258 MI074725 11.96 25.163 0.022 24.2 0.026 23.06 0.55 8.955
N4258 MI059576 12.31 25.798 0.022 24.57 0.027 24.1 0.48 8.968
N4258 MI089618 12.41 25.631 0.022 24.455 0.02 23.41 0.44 8.942
N4258 MI021703 13.88 25.864 0.029 24.456 0.029 24.12 0.61 8.987
N4258 MI175464 13.95 25.772 0.043 24.312 0.039 23.75 0.6 8.989
N4258 MI090355 14.53 25.421 0.023 24.344 0.022 23.57 0.37 8.936
N4258 MI029222 14.66 25.256 0.03 24.301 0.031 23.6 0.5 8.99
N4258 MI017153 14.93 26.028 0.035 24.416 0.03 23.96 0.48 8.995
N4258 MI034667 15.77 24.88 0.057 23.727 0.058 22.86 0.51 8.982
N4258 MI006616 16.04 24.794 0.021 23.712 0.024 23.26 0.54 9.005
N4258 MI060978 16.09 25.655 0.022 24.265 0.024 23.88 0.63 8.952
N4258 MI040434 16.17 25.2 0.025 23.801 0.026 22.9 0.48 8.982
N4258 MI049332 16.21 24.599 0.024 23.757 0.025 23.44 0.41 8.961
N4258 MI019414 16.4 25.138 0.028 24.087 0.031 23.22 0.48 8.986
N4258 MI075254 16.75 25.131 0.019 23.971 0.019 22.93 0.56 8.954
N4258 MI038988 17.8 24.893 0.027 23.885 0.034 23.4 0.44 8.966
N4258 MI031478 18.16 24.646 0.022 23.682 0.021 22.57 0.49 8.983
N4258 MI014775 18.87 23.887 0.034 23.046 0.069 22.32 0.47 8.998
N4258 MI179138 19.57 25.628 0.03 24.314 0.029 23.68 0.38 8.987
N4258 MI001824 20.79 25.229 0.023 24.114 0.031 22.9 0.4 9.002
N4258 MI034408 21.65 24.292 0.024 23.292 0.017 22.03 0.6 8.98
N4258 MI023741 22.43 25.501 0.025 23.897 0.023 23.31 0.46 8.993
N4258 MI044839 22.6 24.971 0.024 23.77 0.026 22.69 0.42 8.96
N4258 MI104131 22.92 24.53 0.03 23.453 0.025 22.42 0.27 8.925
N4258 MI046945 23.28 24.537 0.027 23.487 0.029 22.29 0.54 8.959
N4258 MI043119 24.09 24.239 0.014 23.217 0.019 22.1 0.47 8.961
N4258 MI008361 24.14 24.684 0.02 23.276 0.021 22.33 0.54 8.999
N4258 MI030136 24.75 24.918 0.026 23.536 0.032 22.39 0.46 8.982
N4258 MI037683 26.42 25.468 0.025 23.87 0.022 22.78 0.43 8.976
N4258 MI106960 26.76 24.505 0.021 23.402 0.022 22.76 0.19 8.92
N4258 MI009241 26.87 24.366 0.023 23.505 0.013 22.36 0.48 8.988
N4258 MI014316 28.01 24.784 0.028 23.561 0.032 22.13 0.38 8.994
N4258 MI083857 29.94 23.564 0.03 22.701 0.034 21.49 0.28 8.932
N4258 MI036217 30.91 25.276 0.027 23.869 0.026 23.03 0.44 8.98
N4258 MI062769 31.55 23.889 0.018 22.976 0.019 21.88 0.29 8.966
N4258 MI017423 31.91 24.663 0.022 23.261 0.022 22.35 0.49 8.993
N4258 MI049279 32.24 24.047 0.015 22.99 0.013 21.94 0.38 8.949
N4258 MI029058 34.14 23.917 0.023 22.926 0.029 21.92 0.53 8.978
N4258 MI189390 34.99 23.988 0.023 22.879 0.024 21.87 0.28 8.955
N4258 MI017369 35.13 24.298 0.017 23.051 0.017 21.76 0.4 8.978
N4258 MI034159 38.92 24.037 0.027 22.828 0.028 21.77 0.4 8.975
N4258 MI008480 39.11 23.526 0.018 22.58 0.016 21.57 0.37 8.99
N4258 MI032759 39.31 23.957 0.028 22.811 0.026 21.97 0.38 8.929
N4258 MI000475 39.82 24.16 0.016 22.999 0.018 22.23 0.32 8.932
N4258 MI077610 44.25 23.799 0.02 22.674 0.018 21.44 0.3 8.945
N4258 C085 51.9 24.078 0.041 22.914 0.053 21.76 0.24 8.957
N4258 MI114689 5.173 25.52 0.025 24.732 0.027 24.36 0.46 8.879
N4258 MI131488 5.196 26.325 0.041 25.369 0.04 24.16 0.49 8.843
N4258 MI140072 6.698 26.107 0.037 25.148 0.037 24.22 0.32 8.765
N4258 MI098134 7.317 26.036 0.028 25.132 0.033 23.77 0.52 8.893
N4258 C016 8.61 25.545 0.068 24.575 0.076 23.83 0.24 8.722
N4258 MI125587 9.763 26.574 0.059 25.509 0.057 24.3 0.26 8.831
N4258 MI145186 10.74 25.316 0.019 24.422 0.021 23.57 0.21 8.771
N4258 C034 11.08 25.357 0.05 24.514 0.047 23.77 0.24 8.767
N4258 MI106997 15.34 24.786 0.038 23.838 0.047 23.5 0.34 8.897
N4258 MI144134 15.59 25.16 0.015 24.116 0.016 22.95 0.17 8.775
N4258 MI138294 16.22 25.183 0.021 24.071 0.022 22.73 0.19 8.833
N4258 MI143829 16.86 25.83 0.028 24.412 0.026 23.28 0.18 8.74
N4258 MI121078 18.03 24.73 0.015 23.571 0.017 22.89 0.28 8.895
N4258 MI116159 21.42 24.917 0.015 23.848 0.015 23.31 0.23 8.902
N4258 MI117779 5.384 26.119 0.038 25.251 0.051 24.89 0.54 8.9
N4258 MI083918 6.331 26.112 0.027 25.453 0.036 25.11 0.56 8.871
N4258 MI112780 7.242 25.915 0.029 25.043 0.033 24.28 0.56 8.901
N4258 MI109379 7.606 25.599 0.022 24.471 0.02 23.81 0.42 8.901
N4258 MI095711 11.08 25.722 0.021 24.464 0.021 23.63 0.43 8.889
N4258 C039 13.09 26.157 0.16 24.932 0.107 23.69 0.32 8.81
N4258 C051 17.56 25.325 0.058 24.117 0.068 23.37 0.23 8.834
N4258 MI121312 17.58 25.356 0.021 24.175 0.019 23.34 0.26 8.887
N4258 C054 18.53 25.118 0.051 24.102 0.063 23.43 0.22 8.852
N4258 MI118782 25.84 24.165 0.017 23.105 0.017 22.61 0.21 8.894
N4258 C024 9.376 25.41 0.04 24.25 0.071 23.5 0.23 8.8
N4424 66790 21.88 26.961 0.167 25.955 0.135 24.27 0.53 9.09
N4424 37604 28.63 26.388 0.091 25.256 0.043 24.5 0.42 9.058
N4424 44183 36.4 26.49 0.196 24.888 0.118 22.78 0.73 9.094
N4536 38858 16.1 26.4 0.038 25.493 0.064 24.33 0.41 8.836
N4536 68306 17.37 26.343 0.027 25.637 0.083 24.69 0.25 8.979
N4536 72777 17.9 25.885 0.028 25.067 0.08 24.46 0.36 8.726
N4536 64661 17.92 26.562 0.038 25.552 0.081 24.22 0.31 8.928
N4536 40923 18.45 26.702 0.034 25.528 0.071 24.23 0.27 8.539
N4536 75137 18.79 26.406 0.026 25.297 0.061 24.48 0.23 8.636
N4536 38963 19.22 26.26 0.048 25.051 0.079 24.35 0.31 8.573
N4536 69821 20.13 26.589 0.04 25.557 0.089 24.39 0.23 8.653
N4536 33174 20.79 26.064 0.051 25.341 0.093 24.53 0.27 8.56
N4536 60845 21.57 26.298 0.047 25.382 0.088 24.88 0.28 8.862
N4536 36586 21.77 26.525 0.04 25.237 0.089 24.83 0.37 8.742
N4536 58232 21.85 27.206 0.106 25.625 0.042 24.35 0.38 8.81
N4536 67162 24.06 26.107 0.03 24.998 0.069 23.8 0.23 9.004
N4536 51211 24.72 25.375 0.031 24.315 0.109 23.85 0.36 8.823
N4536 49080 27.53 26.457 0.037 25.307 0.062 23.91 0.33 8.762
N4536 49524 29.43 26.295 0.058 25.104 0.158 24.15 0.59 8.827
N4536 24880 29.66 26.242 0.033 25.087 0.079 23.95 0.27 8.579
N4536 46407 31.97 25.912 0.035 24.707 0.069 23.92 0.26 8.89
N4536 41282 35.21 25.531 0.023 24.451 0.046 23.31 0.26 8.692
N4536 56960 36.76 25.627 0.043 24.401 0.087 23.31 0.26 8.761
N4536 55447 37.28 25.838 0.033 24.759 0.045 24.07 0.33 8.777
N4536 70171 37.6 25.716 0.023 24.698 0.054 23.48 0.19 8.695
N4536 42962 38.41 25.533 0.029 24.443 0.069 23.86 0.24 8.909
N4536 35530 42.93 25.857 0.03 24.646 0.05 23.56 0.2 8.548
N4536 74682 44.28 25.536 0.048 24.329 0.062 23.27 0.23 8.928
N4536 62963 50.04 25.597 0.028 24.348 0.05 23.39 0.17 9.02
N4536 42055 52.97 25.216 0.023 24.047 0.032 23.08 0.17 8.521
N4536 47585 54.53 25.093 0.031 23.984 0.076 22.78 0.18 8.578
N4536 71233 59.27 24.656 0.02 23.46 0.045 22.57 0.25 8.781
N4536 65517 59.46 25.595 0.032 24.246 0.051 22.99 0.17 9.014
N4536 72636 70.45 24.941 0.019 23.767 0.022 22.94 0.17 8.948
N4536 44078 93.62 24.252 0.014 23.188 0.024 22.21 0.17 8.905
N4536 48663 98.78 24.386 0.009 23.056 0.013 22.13 0.16 8.887
N4639 35389 21.53 26.855 0.038 25.593 0.145 23.99 0.4 9.059
N4639 33734 22.26 26.738 0.048 25.787 0.15 24.62 0.36 8.885
N4639 46993 25.5 27.049 0.056 25.889 0.108 24.5 0.49 8.976
N4639 41122 25.81 26.607 0.03 25.624 0.13 23.83 0.45 9.078
N4639 64316 27.15 26.364 0.043 25.37 0.158 24.59 0.56 9.022
N4639 39422 30.6 26.851 0.06 25.847 0.167 24.14 0.41 9.11
N4639 78588 30.84 26.472 0.026 25.643 0.152 24.38 0.33 8.934
N4639 105055 32.08 26.003 0.022 25.226 0.083 24.33 0.23 8.805
N4639 44462 32.53 25.823 0.035 25.151 0.15 24.02 0.41 9.159
N4639 45055 32.59 25.986 0.027 25.119 0.135 24.0 0.52 9.166
N4639 107795 33.08 26.616 0.041 25.658 0.164 24.87 0.29 8.879
N4639 89925 33.45 26.859 0.039 26.038 0.152 24.78 0.29 8.876
N4639 27312 34.1 26.368 0.036 25.473 0.09 24.16 0.24 8.887
N4639 87883 40.9 26.106 0.025 25.146 0.111 23.39 0.35 9.003
N4639 114011 41.19 25.914 0.03 24.943 0.14 23.47 0.27 8.871
N4639 26954 45.66 26.428 0.029 25.406 0.12 24.03 0.28 8.887
N4639 84641 47.98 25.614 0.036 24.893 0.098 23.32 0.48 8.997
N4639 76749 48.27 26.227 0.045 25.068 0.222 23.64 0.51 9.086
N4639 86917 48.91 26.14 0.026 25.055 0.079 24.01 0.18 8.716
N4639 91692 50.18 25.858 0.027 24.619 0.103 23.45 0.43 9.089
N4639 115343 53.87 26.576 0.046 25.372 0.164 24.34 0.28 8.849
N4639 47978 55.57 25.988 0.026 25.115 0.092 24.11 0.29 8.946
N4639 66107 55.99 25.78 0.039 24.839 0.13 23.06 0.34 8.954
N4639 95301 59.46 27.179 0.163 25.905 0.166 22.5 0.34 9.082
N4639 36973 81.01 26.444 0.03 24.958 0.09 23.6 0.29 9.055
N5584 889136 20.77 27.309 0.068 26.131 0.106 24.8 0.35 8.754
N5584 787283 21.07 27.314 0.049 26.455 0.089 25.45 0.54 8.968
N5584 589456 21.41 27.792 0.099 26.289 0.135 24.63 0.48 9.01
N5584 648122 22.68 28.124 0.078 26.905 0.149 25.93 0.39 8.875
N5584 549585 22.92 26.959 0.047 26.083 0.096 25.02 0.55 9.008
N5584 534937 23.34 26.784 0.053 26.162 0.149 24.91 0.35 8.622
N5584 340379 23.55 27.747 0.066 26.456 0.087 25.64 0.35 8.904
N5584 82928 24.29 26.913 0.051 26.024 0.094 24.76 0.42 8.646
N5584 892554 25.03 27.39 0.063 25.99 0.12 24.4 0.42 8.811
N5584 912240 25.07 27.564 0.044 26.47 0.096 25.21 0.29 8.827
N5584 740028 25.57 27.246 0.06 26.218 0.101 24.88 0.53 9.005
N5584 550434 25.59 27.386 0.061 26.327 0.125 25.0 0.31 8.65
N5584 852752 26.36 27.035 0.051 25.697 0.067 24.44 0.39 8.845
N5584 563696 26.67 27.401 0.083 26.219 0.11 25.28 0.35 8.923
N5584 602554 26.72 27.073 0.062 25.996 0.083 24.85 0.52 8.822
N5584 298430 27.53 27.125 0.046 26.129 0.107 24.84 0.31 8.741
N5584 927325 27.87 27.407 0.048 26.1 0.071 24.58 0.35 8.765
N5584 281768 28.23 27.216 0.067 26.377 0.123 24.9 0.33 8.852
N5584 230093 28.36 27.895 0.066 26.338 0.086 24.82 0.55 8.798
N5584 412396 28.87 26.778 0.045 25.932 0.064 24.9 0.41 8.911
N5584 1073816 29.51 27.146 0.045 26.029 0.115 24.47 0.27 8.67
N5584 511109 30.01 26.983 0.049 25.844 0.079 24.62 0.42 9.039
N5584 504490 30.07 26.598 0.086 25.688 0.093 24.63 0.34 9.076
N5584 378235 30.17 27.023 0.042 25.922 0.074 24.64 0.25 8.594
N5584 521128 30.26 26.958 0.047 25.884 0.06 24.36 0.4 9.025
N5584 464626 30.31 27.11 0.04 25.909 0.077 24.77 0.46 8.906
N5584 918325 30.5 26.755 0.038 25.881 0.056 24.82 0.32 8.813
N5584 811974 31.07 26.417 0.041 25.303 0.065 24.22 0.27 8.767
N5584 220248 31.37 26.604 0.049 25.512 0.079 24.46 0.25 8.781
N5584 513372 31.99 26.811 0.037 25.625 0.061 24.17 0.5 8.957
N5584 157119 33.81 25.928 0.05 25.052 0.052 23.92 0.36 8.713
N5584 763038 34.0 26.732 0.055 25.732 0.088 25.01 0.42 8.955
N5584 493790 34.44 27.011 0.045 25.988 0.06 24.75 0.38 9.053
N5584 200467 35.08 27.194 0.055 25.751 0.113 24.78 0.34 8.734
N5584 253461 36.28 26.816 0.039 25.464 0.045 24.2 0.39 8.774
N5584 390652 36.49 26.689 0.047 25.78 0.071 24.25 0.37 8.869
N5584 738261 36.55 27.204 0.03 25.743 0.041 24.39 0.46 8.978
N5584 191706 36.58 26.808 0.076 25.814 0.116 24.51 0.32 8.697
N5584 606041 36.89 26.182 0.046 25.352 0.051 23.82 0.34 8.837
N5584 1015181 37.17 26.47 0.033 25.48 0.044 24.16 0.22 8.729
N5584 550433 38.04 26.82 0.039 25.491 0.059 24.21 0.23 8.664
N5584 605531 38.08 26.946 0.041 25.782 0.069 24.73 0.31 8.941
N5584 513827 38.21 27.007 0.051 25.696 0.076 24.68 0.46 9.089
N5584 449157 38.49 26.641 0.032 25.695 0.044 25.05 0.46 9.0
N5584 727892 38.66 26.491 0.038 25.41 0.055 24.5 0.24 8.73
N5584 571414 39.16 26.464 0.035 25.38 0.075 23.95 0.34 8.938
N5584 238461 39.17 27.121 0.033 25.655 0.047 24.7 0.34 8.791
N5584 175413 39.42 26.701 0.051 25.672 0.082 24.51 0.26 8.709
N5584 715986 39.96 27.053 0.043 25.61 0.055 24.32 0.26 8.857
N5584 810216 40.52 27.11 0.047 25.854 0.069 25.01 0.29 8.905
N5584 374736 41.52 26.505 0.034 25.33 0.048 24.43 0.34 8.88
N5584 411135 43.47 26.223 0.03 25.198 0.041 24.08 0.37 8.968
N5584 97566 43.49 26.831 0.039 25.413 0.048 24.12 0.34 8.658
N5584 543151 43.95 26.88 0.045 25.476 0.059 23.87 0.37 8.983
N5584 1031574 46.23 26.221 0.033 25.128 0.05 24.16 0.19 8.707
N5584 478350 46.76 26.966 0.027 25.546 0.037 24.3 0.37 8.941
N5584 775000 47.94 26.881 0.03 25.394 0.059 24.04 0.35 8.78
N5584 610213 48.21 26.547 0.027 25.212 0.035 23.86 0.35 9.012
N5584 295981 49.03 26.126 0.045 25.218 0.065 24.38 0.25 8.857
N5584 766511 49.35 26.61 0.032 25.304 0.04 24.35 0.17 8.692
N5584 858989 51.77 26.268 0.039 25.064 0.024 23.45 0.26 8.876
N5584 502797 51.93 26.393 0.033 25.115 0.051 23.69 0.28 9.005
N5584 549082 52.17 26.404 0.034 25.235 0.033 24.08 0.31 9.086
N5584 673309 53.56 26.46 0.026 25.124 0.044 23.61 0.25 8.841
N5584 473829 55.14 26.048 0.02 24.95 0.017 23.53 0.25 8.822
N5584 823580 56.17 26.743 0.028 25.368 0.04 23.72 0.2 8.91
N5584 111577 56.72 25.698 0.027 24.949 0.035 23.8 0.24 8.676
N5584 628911 57.84 25.806 0.032 24.685 0.038 23.52 0.25 8.873
N5584 329366 58.93 27.34 0.047 25.971 0.062 24.58 0.27 8.764
N5584 607520 60.05 25.675 0.022 24.536 0.026 23.73 0.2 8.878
N5584 715226 60.55 26.57 0.025 25.327 0.038 24.14 0.4 9.014
N5584 143986 60.58 26.433 0.033 25.068 0.058 24.17 0.24 8.707
N5584 656817 61.94 25.711 0.03 24.716 0.022 23.35 0.26 8.872
N5584 185292 63.12 25.837 0.019 24.899 0.026 23.89 0.23 8.703
N5584 325206 64.09 26.105 0.025 25.042 0.029 24.1 0.22 8.874
N5584 801059 71.47 25.747 0.028 24.574 0.025 23.58 0.17 8.868
N5584 354807 74.59 26.02 0.028 24.858 0.028 23.71 0.21 8.926
N5584 172880 79.48 25.767 0.017 24.431 0.02 23.3 0.18 8.74
N5584 395114 81.2 25.831 0.023 24.589 0.02 23.64 0.2 8.95
N5584 735368 81.36 25.675 0.026 24.483 0.026 23.21 0.19 8.743
N5584 449432 85.11 25.279 0.019 24.205 0.013 23.41 0.25 8.836
N5584 325718 88.51 26.05 0.023 24.764 0.021 23.2 0.22 8.804
N5584 835998 97.75 26.281 0.035 24.77 0.032 23.16 0.16 8.811
N5917 88189 25.97 27.678 0.259 26.357 0.144 25.36 0.52 8.577
N5917 89734 27.01 27.759 0.111 26.293 0.099 25.57 0.36 8.577
N5917 50361 28.49 27.592 0.117 26.415 0.112 25.47 0.25 8.577
N5917 91654 28.83 27.382 0.129 26.354 0.115 25.53 0.38 8.577
N5917 77968 33.75 27.293 0.079 26.447 0.078 25.07 0.38 8.577
N5917 72879 34.0 27.723 0.165 26.204 0.106 25.4 0.25 8.577
N5917 89558 40.09 27.17 0.154 25.74 0.107 24.32 0.49 8.577
N5917 90338 46.32 26.84 0.095 25.604 0.071 24.26 0.39 8.577
N5917 67012 48.82 26.981 0.133 25.601 0.094 24.04 0.5 8.577
N5917 90591 50.29 26.811 0.131 25.689 0.087 24.84 0.5 8.577
N5917 89192 50.32 26.671 0.106 25.852 0.106 24.72 0.46 8.577
N5917 90900 50.73 26.314 0.097 24.989 0.057 23.99 0.34 8.577
N5917 63856 53.2 26.714 0.105 25.75 0.088 24.69 0.3 8.577
N7250 62596 15.06 27.742 0.238 26.15 0.138 25.47 0.69 8.605
N7250 53424 15.22 27.626 0.205 25.978 0.087 24.37 0.56 8.605
N7250 53246 15.25 27.672 0.211 26.717 0.178 25.19 0.46 8.605
N7250 59147 15.88 27.175 0.099 26.009 0.13 24.9 0.57 8.605
N7250 50347 17.44 27.909 0.257 26.326 0.121 25.67 0.66 8.605
N7250 82978 17.61 27.952 0.125 26.275 0.086 24.68 0.4 8.605
N7250 90075 18.37 27.468 0.144 26.239 0.121 25.33 0.56 8.605
N7250 95831 18.51 27.66 0.121 26.432 0.119 24.85 0.43 8.605
N7250 101673 19.38 27.256 0.144 26.165 0.093 25.29 0.6 8.605
N7250 42190 19.97 27.656 0.166 26.252 0.087 24.69 0.25 8.605
N7250 87719 20.37 28.22 0.139 26.613 0.145 25.34 0.37 8.605
N7250 88749 20.44 27.14 0.129 26.012 0.064 24.95 0.31 8.605
N7250 2069078 21.09 27.721 0.301 26.178 0.149 25.62 0.6 8.605
N7250 101740 28.28 27.744 0.175 26.025 0.097 25.09 0.28 8.605
N7250 58876 34.67 27.864 0.196 25.848 0.083 24.84 0.43 8.605
N7250 60122 36.06 26.744 0.163 25.167 0.094 23.73 0.53 8.605
N7250 100204 42.0 25.952 0.037 24.733 0.046 23.74 0.58 8.605
N7250 53816 43.5 26.376 0.097 25.04 0.048 24.09 0.32 8.605
N7250 45708 53.92 26.457 0.076 25.064 0.057 24.02 0.16 8.605
N7250 66279 60.84 25.987 0.102 24.63 0.056 23.1 0.36 8.605
N7250 84523 73.29 26.322 0.085 24.735 0.066 23.08 0.55 8.605
N7250 49008 83.1 26.061 0.073 24.682 0.032 23.3 0.17 8.605
U9391 117519 25.73 28.143 0.149 26.723 0.078 26.13 0.51 8.813
U9391 133794 25.83 27.789 0.093 26.843 0.074 25.69 0.36 8.849
U9391 143428 27.42 27.868 0.111 26.641 0.14 25.36 0.45 8.88
U9391 150943 27.95 27.739 0.127 26.919 0.115 26.4 0.48 8.733
U9391 160198 28.33 27.95 0.182 26.569 0.127 24.94 0.51 8.913
U9391 205995 28.54 28.272 0.136 27.457 0.194 26.26 0.46 8.825
U9391 139135 30.69 27.309 0.109 26.482 0.091 25.7 0.34 8.741
U9391 104081 31.95 28.123 0.115 26.871 0.099 25.89 0.24 8.784
U9391 141824 32.7 27.337 0.082 26.427 0.073 25.68 0.34 8.691
U9391 98757 34.55 27.725 0.108 26.843 0.11 26.16 0.25 8.705
U9391 207830 35.28 27.949 0.099 27.039 0.102 25.79 0.2 8.519
U9391 212578 35.52 27.158 0.089 26.298 0.051 25.11 0.22 8.734
