host ID mu dmu m dm
N4536 1981B 30.96 0.05 11.62 0.12
N3370 1994ae 32.27 0.05 12.92 0.12
N3021 1995al 32.22 0.05 12.97 0.12
N1448 2001el 31.32 0.06 12.20 0.12
N1309 2002fk 32.50 0.07 13.20 0.12
N5584 2007af 31.82 0.1 12.70 0.12
N4038 2007sr 31.68 0.05 12.24 0.11
M101 2011fe 29.08 0.04 9.75 0.12
N4424 2012cg 31.00 0.06 11.55 0.11
N1365 2012fr 31.36 0.05 11.92 0.12
