id z_hel z_cmb dz m dm
04D4hu 0.7030000091 0.7011529803 0.001000000047 23.90875 0.1805
04D4ic 0.6869999766 0.6851750016 0.001000000047 23.844 0.2326
04D4ih 0.9340000153 0.9318959713 0.001000000047 24.54795 0.15235
04D4im 0.7509999871 0.7490950227 0.001000000047 23.81055 0.18275
04D4jr 0.4699999988 0.4684019983 0.009999999776 22.73255 0.11785
04D4jw 0.9610000253 0.9588660002 0.001000000047 24.80665 0.17245
05D1az 0.8420000076 0.8405290246 0.001000000047 24.22255 0.1456
05D1cc 0.5640000105 0.5627560019 0.001000000047 23.2428 0.11755
05D1cl 0.8299999833 0.8285350204 0.009999999776 24.39785 0.1526
05D1dx 0.5799999833 0.5787510276 0.009999999776 23.22495 0.12065
05D1em 0.8659999967 0.8645039797 0.001000000047 24.3693 0.14625
05D1er 0.8600000143 0.8585140109 0.009999999776 24.4442 0.16535
05D1hm 0.5870000124 0.5857489705 0.001000000047 23.5694 0.1417
05D1ix 0.4900000095 0.488804996 0.009999999776 22.8653 0.1136
05D1ke 0.6899999976 0.6886619925 0.009999999776 23.6132 0.1518
05D2ab 0.3230000138 0.3245379925 0.001000000047 21.79365 0.10225
05D2ah 0.1840000004 0.1853770018 0.001000000047 20.4558 0.10405
05D2bt 0.6800000072 0.6819499731 0.009999999776 23.59755 0.1484
05D2bw 0.9200000167 0.9222180247 0.009999999776 24.355 0.1708
05D2cb 0.4269999862 0.4286519885 0.001000000047 22.751 0.1294
05D2ck 0.6980000138 0.6999679804 0.001000000047 23.95255 0.2153
05D2dt 0.574000001 0.5758299828 0.001000000047 23.38495 0.13845
05D2dy 0.5099999905 0.5117530227 0.009999999776 23.11305 0.1165
05D2ec 0.6399999857 0.641900003 0.001000000047 23.62155 0.1659
05D2hc 0.349999994 0.3515659869 0.009999999776 22.2272 0.1136
05D2ie 0.34799999 0.3495630026 0.001000000047 22.14445 0.11065
05D2mp 0.353700012 0.3552669883 0.0003999999899 22.23665 0.113
